Resource, Speed
devices/anl-asw1/interfaces/irb.0, 1000
devices/anl-asw1/interfaces/ae10, 10000
devices/anl-asw1/interfaces/ae10.0, 10000
devices/anl-asw1/interfaces/irb.909, 1000
devices/anl-asw1/interfaces/ge-0%2F0%2F1, 1000
devices/anl-asw1/interfaces/ge-0%2F0%2F1.0, 1000
devices/anl-asw1/interfaces/ge-0%2F0%2F3.0, 1000
devices/anl-asw1/interfaces/ge-0%2F0%2F0.0, 1000
devices/anl-asw1/interfaces/ge-0%2F0%2F5.0, 100
devices/anl-asw1/interfaces/ge-0%2F0%2F7.0, 100
devices/anl-asw1/interfaces/ge-0%2F0%2F8.0, 1000
devices/anl-asw1/interfaces/ge-0%2F0%2F9.0, 1000
devices/anl-asw1/interfaces/xe-0%2F0%2F32, 10000
devices/anl-asw1/interfaces/xe-0%2F0%2F32.0, 10000
devices/anl-asw1/interfaces/ge-0%2F0%2F10.0, 1000
devices/anl-mr2/interfaces/fxp0, 100
devices/anl-mr2/interfaces/xe-0%2F1%2F0.909, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.913, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.919, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.959, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.991, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.1805, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.1820, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.1821, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.32767, 10000
devices/anl-mr2/interfaces/em0, 1000
devices/anl-mr2/interfaces/em0.0, 1000
devices/anl-mr2/interfaces/em1, 1000
devices/anl-mr2/interfaces/em1.0, 1000
devices/anl-mr2/interfaces/xe-1%2F0%2F0, 10000
devices/anl-mr2/interfaces/lc-1%2F0%2F0, 800
devices/anl-mr2/interfaces/pfh-0%2F0%2F0, 800
devices/anl-mr2/interfaces/xe-0%2F0%2F0, 10000
devices/anl-mr2/interfaces/lc-0%2F0%2F0, 800
devices/anl-mr2/interfaces/pfe-0%2F0%2F0, 800
devices/anl-mr2/interfaces/xe-1%2F1%2F0, 10000
devices/anl-mr2/interfaces/lc-1%2F1%2F0, 800
devices/anl-mr2/interfaces/pfe-0%2F1%2F0, 800
devices/anl-mr2/interfaces/xe-0%2F1%2F0, 10000
devices/anl-mr2/interfaces/lc-0%2F1%2F0, 800
devices/anl-mr2/interfaces/pfe-0%2F2%2F0, 800
devices/anl-mr2/interfaces/vt-0%2F3%2F0.2097152, 10000
devices/anl-mr2/interfaces/jsrv.1, 1000
devices/anl-mr2/interfaces/xe-1%2F2%2F0, 10000
devices/anl-mr2/interfaces/lc-1%2F2%2F0, 800
devices/anl-mr2/interfaces/xe-0%2F2%2F0, 10000
devices/anl-mr2/interfaces/lc-0%2F2%2F0, 800
devices/anl-mr2/interfaces/xe-1%2F3%2F0.915, 10000
devices/anl-mr2/interfaces/lc-1%2F3%2F0, 800
devices/anl-mr2/interfaces/xe-1%2F3%2F0, 10000
devices/anl-mr2/interfaces/xe-1%2F3%2F0.911, 10000
devices/anl-mr2/interfaces/xe-1%2F3%2F0.32767, 10000
devices/anl-mr2/interfaces/lc-0%2F3%2F0, 800
devices/anl-mr2/interfaces/pe-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/pe-0%2F3%2F0.32769, 10000
devices/anl-mr2/interfaces/pd-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/gr-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/ip-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/vt-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/mt-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/lt-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/ud-0%2F3%2F0, 10000
devices/anl-mr2/interfaces/pfe-0%2F3%2F0, 800
devices/anl-mr2/interfaces/pfh-1%2F0%2F0, 800
devices/anl-mr2/interfaces/pfe-1%2F0%2F0, 800
devices/anl-mr2/interfaces/xe-0%2F2%2F0.32767, 10000
devices/anl-mr2/interfaces/lc-2%2F0%2F0, 800
devices/anl-mr2/interfaces/xe-2%2F0%2F0, 10000
devices/anl-mr2/interfaces/lc-2%2F1%2F0, 800
devices/anl-mr2/interfaces/xe-2%2F1%2F0, 10000
devices/anl-mr2/interfaces/pfe-1%2F1%2F0, 800
devices/anl-mr2/interfaces/pfe-1%2F2%2F0, 800
devices/anl-mr2/interfaces/xe-2%2F2%2F0, 10000
devices/anl-mr2/interfaces/lc-2%2F2%2F0, 800
devices/anl-mr2/interfaces/lc-2%2F3%2F0, 800
devices/anl-mr2/interfaces/xe-2%2F3%2F0, 10000
devices/anl-mr2/interfaces/pfe-1%2F3%2F0, 800
devices/anl-mr2/interfaces/pfh-2%2F0%2F0, 800
devices/anl-mr2/interfaces/pfe-2%2F0%2F0, 800
devices/anl-mr2/interfaces/pfe-2%2F1%2F0, 800
devices/anl-mr2/interfaces/pfe-2%2F2%2F0, 800
devices/anl-mr2/interfaces/pfe-2%2F3%2F0, 800
devices/anl-mr2/interfaces/ae10, 10000
devices/anl-mr2/interfaces/ae10.909, 10000
devices/anl-mr2/interfaces/xe-2%2F3%2F0.5, 10000
devices/anl-mr2/interfaces/xe-2%2F3%2F0.32767, 10000
devices/anl-mr2/interfaces/ae10.919, 10000
devices/anl-mr2/interfaces/ae10.959, 10000
devices/anl-mr2/interfaces/ae10.991, 10000
devices/anl-mr2/interfaces/ae10.1805, 10000
devices/anl-mr2/interfaces/xe-0%2F0%2F0.5, 10000
devices/anl-mr2/interfaces/xe-0%2F0%2F0.32767, 10000
devices/anl-mr2/interfaces/ae10.1820, 10000
devices/anl-mr2/interfaces/ae10.1821, 10000
devices/anl-mr2/interfaces/ae10.32767, 10000
devices/anl-mr2/interfaces/ae10.30, 10000
devices/anl-mr2/interfaces/xe-0%2F1%2F0.30, 10000
devices/anl-mr2/interfaces/xe-0%2F2%2F0.955, 10000
devices/anl-mr2/interfaces/xe-1%2F2%2F0.955, 10000
devices/anl-mr2/interfaces/xe-1%2F2%2F0.32767, 10000
devices/anl221-mpr1/interfaces/em2, 1000
devices/anl221-mpr1/interfaces/em2.32768, 1000
devices/anl221-mpr1/interfaces/em3, 1000
devices/anl221-mpr1/interfaces/vme.0, 1000
devices/anl221-mpr1/interfaces/gr-0%2F0%2F0, 800
devices/anl221-mpr1/interfaces/pfh-0%2F0%2F0, 800
devices/anl221-mpr1/interfaces/pfe-0%2F0%2F0, 800
devices/anl221-mpr1/interfaces/jsrv.1, 1000
devices/anl221-mpr1/interfaces/sxe-0%2F0%2F0, 1000
devices/anl221-mpr1/interfaces/sxe-0%2F0%2F0.16386, 1000
devices/anl221-mpr1/interfaces/sxe-0%2F0%2F1, 1000
devices/anl221-mpr1/interfaces/sxe-0%2F0%2F1.16386, 1000
devices/anl221-mpr1/interfaces/irb.910, 1000
devices/anl221-mpr1/interfaces/irb.920, 1000
devices/anl221-mpr1/interfaces/irb.930, 1000
devices/anl221-mpr1/interfaces/irb.940, 1000
devices/anl221-mpr1/interfaces/irb.950, 1000
devices/anl221-mpr1/interfaces/xe-0%2F0%2F0, 10000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F1, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F12, 100
devices/anl221-mpr1/interfaces/ge-0%2F0%2F13, 100
devices/anl221-mpr1/interfaces/ge-0%2F0%2F14, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F15, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F16, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F17, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F18, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F41, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F42, 1000
devices/anl221-mpr1/interfaces/xe-0%2F0%2F0.955, 10000
devices/anl221-mpr1/interfaces/xe-0%2F0%2F0.32767, 10000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F1.0, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F41.0, 1000
devices/anl221-mpr1/interfaces/ge-0%2F0%2F12.0, 100
devices/anl221-mpr1/interfaces/ge-0%2F0%2F13.0, 100
devices/anl541b-mpr1/interfaces/em2, 1000
devices/anl541b-mpr1/interfaces/em2.32768, 1000
devices/anl541b-mpr1/interfaces/em3, 1000
devices/anl541b-mpr1/interfaces/em0, 1000
devices/anl541b-mpr1/interfaces/em0.0, 1000
